Movie Title
1917
12 Angry Men
12 Years a Slave
2001: A Space Odyssey
3 Idiots
8½
A Clockwork Orange
A Fistful of Dollars
A Separation
A Streetcar Named Desire
Aguirre the Wrath of God
Akira
Ali: Fear Eats the Soul
Alien
Aliens
All About Eve
All Quiet on the Western Front
Amadeus
American Beauty
American History X
Amores Perros
Amour
An Autumn Afternoon
Anand
Anatomy of a Murder
Andhadhun
Andrei Rublev
Annie Hall
Apocalypse Now
Arrival
Au hasard Balthazar
Autumn Sonata
Avatar
Baahubali 2: The Conclusion
Babel
Back to the Future
Barry Lyndon
Barton Fink
Battleship Potemkin
Beauty and the Beast
Before Midnight
Before Sunrise
Before Sunset
Belle de Jour
Ben-Hur
Bicycle Thieves
Birdman
Black Cat White Cat
Black Orpheus
Black Panther
Black Swan
Blade Runner
Blade Runner 2049
Blue Is the Warmest Color
Blue Valentine
Blue Velvet
Bohemian Rhapsody
Boyhood
Brazil
Breathless
Brokeback Mountain
Burning
Butch Cassidy and the Sundance Kid
Caché
Call Me by Your Name
Capernaum
Carol
Carrie
Casablanca
Casino
Castle in the Sky
Central Station
Children of Heaven
Children of Men
Chinatown
Chungking Express
Cinema Paradiso
City Lights
City of God
Clerks
Coco
Cold War
Come and See
Crouching Tiger Hidden Dragon
Dancer in the Dark
Dangal
Das Boot
Dead Poets Society
Dersu Uzala
Die Hard
Dilwale Dulhania Le Jayenge
District 9
Do the Right Thing
Dogtooth
Dogville
Don't Look Now
Double Indemnity
Downfall
Dr. Strangelove
Drive
Dune: Part One
Dunkirk
E.T. the Extra-Terrestrial
Eat Drink Man Woman
Edward Scissorhands
Erin Brockovich
Eternal Sunshine of the Spotless Mind
Ex Machina
Eyes Wide Shut
Fanny and Alexander
Fantasia
Fantastic Mr. Fox
Farewell My Concubine
Fargo
Fight Club
Finding Nemo
Fist of Fury
Fitzcarraldo
Ford v Ferrari
Forrest Gump
Four Weddings and a Funeral
Frida
Frozen
Full Metal Jacket
Gandhi
Gangs of Wasseypur
Gattaca
Get Out
Ghost in the Shell
Gladiator
Gomorrah
Gone Girl
Gone with the Wind
Good Will Hunting
Goodfellas
Gran Torino
Grave of the Fireflies
Gravity
Grease
Green Book
Groundhog Day
Hacksaw Ridge
Hana-bi
Happy Together
Harakiri
Harry Potter and the Sorcerer's Stone
Heat
Her
Hereditary
High Noon
Hiroshima mon amour
Hotel Rwanda
How to Train Your Dragon
Howl's Moving Castle
Hunt for the Wilderpeople
Ida
Ikiru
In the Mood for Love
In the Name of the Father
Incendies
Inception
Indiana Jones and the Last Crusade
Indiana Jones and the Raiders of the Lost Ark
Infernal Affairs
Inglourious Basterds
Inside Llewyn Davis
Inside Out
Interstellar
Ip Man
It Happened One Night
It's a Wonderful Life
Jai Bhim
John Wick
Jojo Rabbit
Judgment at Nuremberg
Jules and Jim
Jumanji
Jurassic Park
Kagemusha
Kill Bill: Vol. 1
Kimi no Na wa.
Klaus
Kung Fu Hustle
L.A. Confidential
La Dolce Vita
La Haine
La La Land
La Strada
La Vie en Rose
Lady Bird
Lagaan
Late Spring
Lawrence of Arabia
Let the Right One In
Letters from Iwo Jima
Leviathan
Life Is Beautiful
Life of Brian
Like Stars on Earth
Lion
Little Miss Sunshine
Lock Stock and Two Smoking Barrels
Locke
Logan
Lost in Translation
M
Mad Max: Fury Road
Manchester by the Sea
Mary and Max
Memento
Memories of Murder
Metropolis
Midnight in Paris
Million Dollar Baby
Minari
Modern Times
Mon Oncle
Monsters
Moonlight
Mother
Moulin Rouge!
Mulholland Drive
My Neighbor Totoro
Nausicaä of the Valley of the Wind
Network
Night of the Living Dead
No Country for Old Men
North by Northwest
Nosferatu
Oldboy
On the Waterfront
Once Upon a Time in America
Once Upon a Time in the West
One Flew Over the Cuckoo's Nest
Pan's Labyrinth
Parasite
Paterson
Pather Panchali
Paths of Glory
Persepolis
Persona
Pirates of the Caribbean: The Curse of the Black Pearl
Platoon
Playtime
Princess Mononoke
Psycho
Pulp Fiction
Punch-Drunk Love
Raging Bull
Rashomon
Ratatouille
Rear Window
Requiem for a Dream
Reservoir Dogs
Rocky
Roma
Roman Holiday
Rosemary's Baby
Run Lola Run
Saving Private Ryan
Scarface
Schindler's List
Se7en
Seven Samurai
Shame
Shutter Island
Singin' in the Rain
Slumdog Millionaire
Snatch
Snowpiercer
Some Like It Hot
Sound of Metal
Spirited Away
Spotlight
Stand by Me
Star Wars: Episode IV - A New Hope
Star Wars: Episode V - The Empire Strikes Back
Still Alice
Sunset Boulevard
Talk to Her
Taxi Driver
The 400 Blows
The Apartment
The Battle of Algiers
The Big Lebowski
The Cabinet of Dr. Caligari
The Dark Knight
The Death of Stalin
The Deer Hunter
The Exorcist
The Farewell
The Godfather
The Godfather: Part II
The Good
The Graduate
The Grand Budapest Hotel
The Great Dictator
The Green Mile
The Handmaiden
The Hunt
The Intouchables
The Kid
The Lighthouse
The Lives of Others
The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings: The Return of the King
The Lord of the Rings: The Two Towers
The Matrix
The Passion of Joan of Arc
The Pianist
The Prestige
The Princess Bride
The Raid: Redemption
The Salesman
The Seventh Seal
The Shawshank Redemption
The Shining
The Silence of the Lambs
The Sixth Sense
The Skin I Live In
The Social Network
The Square
The Sting
The Terminator
The Thing
The Third Man
The Truman Show
The Usual Suspects
The White Ribbon
The Wizard of Oz
The Wrestler
There Will Be Blood
Three Billboards Outside Ebbing
Three Colors: Red
Titanic
To Kill a Mockingbird
Tokyo Story
Toni Erdmann
Touch of Evil
Toy Story
Train to Busan
Trainspotting
Twelve Monkeys
Unforgiven
Up
V for Vendetta
Vertigo
Victoria
WALL·E
Wallace & Gromit: The Curse of the Were-Rabbit
Watchmen
Whiplash
Wild Strawberries
Wings of Desire
Winter's Bone
Woman in the Dunes
Wonder
Wonder Woman
X-Men: Days of Future Past
Yojimbo
Z
Zodiac
Zootopia
